parent_asin,product_title,store,main_category,price_tier,total_reviews,unique_reviewers,avg_rating,rating_stddev,positive_reviews,negative_reviews,neutral_reviews,satisfaction_rate,negative_rate,avg_review_length,detailed_reviews,verified_purchases,verified_rate,avg_helpful_votes,first_review_date,last_review_date,review_span_days,sample_reviews
B07HZLHPKP,"Echo Show 5 (1st Gen, 2019 release) -- Smart display with Alexa – stay connected with video calling - Charcoal",Amazon,Amazon Devices,Premium ($50-100),46254,45796,4.4,1.14,38783,4476,2995,83.85,9.68,152.83,10080,45532,98.44,0.5,2019-07-01,2023-07-12,1472,"[5 stars] It was worth the money and it comes in handy for many different things too! | [5 stars] I really didn't need this, but saw it was a great deal on Amazon Prime day. So glad I did. Sound quality is good, can personalize it with your own pictures. | [5 stars] I bought this for my wife when it was on sale and she loves it. | [5 stars] Having recipes displayed making cooking so much easier. | [5 stars] Bought this for work.  Fits on my salon station perfectly.  My clients love being able to change the music to their style."
B07456BG8N,Echo (2nd Generation) - Smart speaker with Alexa and Dolby processing - Charcoal Fabric,Amazon,Amazon Devices,Unknown,44813,44391,4.51,1.04,39155,3383,2275,87.37,7.55,145.07,8762,43863,97.88,0.57,2017-11-02,2023-07-31,2097,"[5 stars] Wow - we like the gray color. The sound has definitely improved and the smaller profile fits my wife's desires for the room.<br />We're still learning how to really use this and also tie it to our dot in the bedroom.<br /><br />We recommended the Echo 1 and really recommend the 2d Gen version. | [5 stars] I purchased this echo for my 80 year old mom... she LOVES have access to all the music, an easy timer set, answers to the random question and even a chat when she needs one.  The sound is SOOOO much better than the 1st gen echos...  and it blends with any decor as far as how it looks.  If you're an amazon shopper, you need an echo and these 2nd gens are greatly improved - worthy of try. | [5 stars] Great sound quality!  Easy to set up other devices that work with Alexa. | [5 stars] This is where I can't figure out why anyone with this device would write anything other than how great this is. This is so cool. Every day we use it Echo seems to get smarter. The sound is incredible and nothing like some of the other reviews .<br />learning what alexa can do is the best and so far it's everything you can think of.. I want one of these in every room. | [1 stars] I have 3 and will be returning this one sine it has a rattling sound when the volume is increased!"
B07PHQ93TV,"Fire HD 10 Tablet (10.1"" 1080p full HD display, 64 GB) – Black (2019 Release)",Amazon,Amazon Devices,Unknown,43892,43469,4.36,1.18,36301,4572,3019,82.71,10.42,173.66,11330,43009,97.99,0.73,2019-10-30,2023-07-17,1356,"[1 stars] No different than other versions,  hate it,  waiting for port issue. | [5 stars] I got the first table when Amazon came out with it.  Then jumped up to the newer version.  My 3rd one I plan wore out. Now I have the 10 in, the only thing I have trouble with is reading at night, its a little big.  I use a pillow to prop it up and I'm good | [5 stars] Received as gift, and I'm Happy with it. It does everything. Very good. | [5 stars] Ordered a Fire HD 10 tablet but the box got damaged in transit and the tablet screen shattered.  Filed for a replacement or refund and got a refund.  Immediately ordered a replacement tablet and it arrived within two days.  I already had an earlier version of the Fire Hd 10 tablet and am very pleased with it.  The new one allows me to leave one at home and take one with me. | [5 stars] The colors are vibrant and overall I love it.  My only issue is I cannot figure out how to increase the font in the books I am reading, and the brightness keeps going back down to dull."
B08XNCHTCY,TOZO T6 True Wireless Earbuds Bluetooth 5.3 Headphones Touch Control with Wireless Charging Case IPX8 Waterproof Stereo Earphones in-Ear Built-in Mic Headset Premium Deep Bass White (2022 Upgraded),TOZO,All Electronics,Mid ($20-50),43463,42897,4.29,1.25,35258,5595,2610,81.12,12.87,241.26,16962,41975,96.58,0.62,2019-08-31,2023-09-10,1471,"[5 stars] I have tried so many earbuds from super expensive to these. This is the only ones I would recommend. They fight perfectly in your ear, I have not had them fall out. They are waterproof something the expensive ones never have. I use them at work with my phone, never had an issue with bad quality calls. I would give them 10 stars if I could. Stop buying those expensive ear buds and get yourself a pair of these. | [5 stars] These are a great pair of earbuds! I’ve had them a few weeks and the quality has been consistent. | [5 stars] Bought my daughter a pair and she could not stop raving about them. So I bought myself a pair for Christmas. And she was right!!! Fabulous product at such a great price. Highly recommend. | [5 stars] This are awesome! I love them! The only thing  is that they don’t have microphone... if they had they would be perfect | [5 stars] I was nervous buying ear buds priced so affordably but did so based on reviews. I’m very happy I did. These have worked flawlessly since I received them. They hold their charge for a long time and the sound quality is excellent. When I use them for phone conversations, the other party has never complained about not being able to hear me."
B07N8VFFNS,"Fire 7 tablet, 7"" display, 16 GB, (2019 release), Black",Amazon,Amazon Devices,Unknown,41935,41468,3.94,1.45,29394,8344,4197,70.09,19.9,159.1,9893,40788,97.26,0.6,2019-06-10,2023-08-08,1520,"[5 stars] It was smaller than my old one. It works Great in spite of that. | [1 stars] The tablet takes forever to charge and dies fast and now it is randomly turning off | [5 stars] This Kindle was actually a replacement for a previous one that had quit charging.  So nice to have a working Kindle back in my life.  So love it. | [5 stars] I loved my old kindle fire, but this is definitely an improvement.  Much faster, and very intuitive to use. | [5 stars] Nice updated version of the kindle. Only thing the battery life is no better on the New kindle fire than my old kindle, but more update on app's."
B08F1P3BCC,Echo Dot (4th Gen) | Smart speaker with Alexa | Twilight Blue,Amazon,Amazon Devices,Unknown,41696,41294,4.37,1.2,34511,4593,2592,82.77,11.02,133.01,7937,40543,97.23,0.36,2020-10-22,2023-09-03,1046,"[5 stars] Fantastic little speaker with quality sound and Alexa voice controls | [5 stars] Sounds good for a small speaker, I have 2 of them connected to a sub woofer for my fire tv stick. | [5 stars] I got this with my smart lightbulb. I've enjoyed it a great deal. It was very easy to set up. | [5 stars] this is honestly my first time knowing about echo products and this speaker exceeds all of my needs. the music sounds great. jazz sounds great, gospel music sounds great, R&B sounds fantastic… you won’t be disappointed. | [5 stars] We love this little black ball (eco dot) it can answer your questions look up an answer play music and it sound is great. What did we ever do without it.I would buy it again."
B07P374FF3,"Fire 7 Tablet (7"" display, 16 GB) - Yellow - (Previous Generation - 7th)",Amazon,Amazon Devices,Unknown,40134,39703,3.9,1.47,27884,8379,3871,69.48,20.88,166.1,9831,38466,95.84,0.64,2017-06-09,2023-08-28,2271,"[5 stars] I use this mostly for reading.  It is so handy and easy to take everywhere. | [5 stars] I love this fire tablet.  I have several of them and use them all the time. | [5 stars] OMG I so love this tablet.  It is perfect and has so much on it. | [1 stars] After several attempts, I was unable to download a single game app, nor could I create and order the case that was supposed to come with this tablet, as ordered through QVC'S deal with Amazon.  I'm unsure as to why this tablet is being sold  to innocent people. | [5 stars] This is an awesome tablet. Grandaughter started using it yesterday and loves it. It has a very crisp picture. Easy to navigate."
B01MTF2Z37,"Fire HD 10 Tablet with Alexa Hands-Free, 10.1"" 1080p Full HD Display, 32 GB, Marine Blue (Previous Generation - 7th)",Amazon,Amazon Devices,Unknown,39458,39027,4.1,1.36,29722,6402,3334,75.33,16.22,216.23,12425,38651,97.95,0.85,2017-10-13,2023-08-21,2138,"[5 stars] Large bright screen. Use it primarily for reading. Love it. | [5 stars] This is a great tablet. Great for watching videos or playing games. Nice size and good sound with 2 speakers. | [5 stars] I do like that it has netflix and amazon prime movies. | [5 stars] Great size - got it on sale - does all I want it too. | [5 stars] Have had the 7 inch fore a couple of years and this was on sale so I got one, wow the picture is much better battery life is good also."
B00OQVZDJM,"Kindle Paperwhite E-reader (Previous generation – 2015 release) - Black, 6"" High-Resolution Display (300 ppi) with Built-in Light, Wi-Fi, Ad-Supported",Amazon,Amazon Devices,Unknown,39114,38735,4.46,1.05,33809,2980,2325,86.44,7.62,218.29,12780,37140,94.95,0.75,2015-07-01,2023-08-01,2953,"[1 stars] Bought a book from amazon days ago and still can't read it on the kindle. have been to u-tube, google, everywhere..no help..the book shows on kindle, but always asks do I want to stop download? I click no. does it take hours to download books? I'm on WIFI...HELP!!! | [5 stars] I love this thing.  Who knew having a light in the screen could make such a difference? | [5 stars] I have both the Paperwhite and the Voyage, and like them both. The real advantage to the Paperwhite is the price. | [5 stars] Bought it and love it! I thought my iPad could do the same but this is so much better. I have both and the kindle has great battery. | [5 stars] My old Kindle was quite old and this new one is absolutely the best."
B07VXXBTX4,"Echo Show 8 (1st Gen, 2019 release) -- HD smart display with Alexa – stay connected with video calling - Sandstone",Amazon,Amazon Devices,Unknown,33869,33483,4.53,1.04,29689,2540,1640,87.66,7.5,164.65,8111,33176,97.95,0.8,2019-11-25,2023-08-18,1362,"[5 stars] Alexa is like family now he listen and talks back even keeps the husband and kids entertained sometimes  love it love it | [5 stars] Beautiful pictures during the day with large numerals for time. Nice night time no picture but time visible. Connects well with my other echos in my house | [5 stars] The echo show 8 is a fantastic device, screen is nice and clear. Was larger than I expected.. glad I didn’t get a 10 show as it would be to much imo. But the 8 is the perfect kitchen size, 5 is great for bedroom night stand.<br /><br />Would recommend so nice if you have the cameras and plugs or for weather as you get ready for work. | [5 stars] Perfect kitchen companion! I use it for recipes, reading my audio books. | [5 stars] So...the big debate about the try alexa on the bottom of the screen....goes away when not messed with on night mode.....see the photos.  Yes it would be nice if there was an option to not have it.....but....there are a bunch of things i would never have thought of...so....IS FUN"
B08WJSHSLC,Fire TV Stick (3rd Gen) with Alexa Voice Remote (includes TV controls) + Star Wars The Mandalorian remote cover (Grogu Green),Amazon,Amazon Devices,Mid ($20-50),32110,31806,4.32,1.33,26251,4456,1403,81.75,13.88,134.69,6296,31491,98.07,0.42,2021-04-28,2023-09-10,865,"[5 stars] I love Firestick! This is my second one and it was to add to another room. I love the quality and it’s super easy to connect. I also love the Alexa remote. It’s the best! | [1 stars] I have had these before this 1 would not do anything | [5 stars] I only stream, so I have one on every TV. I’ve given them as gifts to my parents (80+ years old) and friends. All are very excited about the function, ease and shows available. | [5 stars] I have 2 in my RV and have little trouble streaming using the connection provided in any of the parks we've stayed at.  Even under poor reception they both work.  It's so much better than using cable connections. I'll never get cable again. | [5 stars] Very easy to set up.  Fast. Nice button arrangement."
B07F4P3JH7,"Fire HD 8 Tablet (8"" HD Display, 16 GB) - Black (Previous Generation - 8th)",Amazon,Amazon Devices,Unknown,30974,30679,4.08,1.37,23173,5063,2738,74.81,16.35,184.6,8493,30077,97.1,0.75,2018-10-05,2023-06-29,1728,"[5 stars] Love this device, it’s perfect size and the quality is out of this world, not to mention the color is beautiful  . I love it too because it’s simple almost ready to use because it’s simple to understand how to use. Great but ! | [5 stars] For the money this is by far the best tablet you can buy.  We have a house full of them | [5 stars] I just wished it would’ve came with a cover??  Now I’m scared to use it because. It’s very light and thin. I can’t use it until I buy  the cover the shield protector.  Never advertised  a picture with a cover! | [5 stars] I bought this tablet so that I can have a larger screen (than my phone screen) to watch movies and play games. It definitely meets my expectations. | [5 stars] Just what I wanted for what I need.  Couldn't ask for a better tablet."
B07PXGQC1Q,"Apple AirPods (2nd Generation) Wireless Earbuds with Lightning Charging Case Included. Over 24 Hours of Battery Life, Effortless Setup. Bluetooth Headphones for iPhone",Apple,Apple Products,Premium ($50-100),30538,30194,4.36,1.31,25267,4018,1253,82.74,13.16,123.74,5342,29715,97.3,0.93,2019-03-26,2023-09-10,1629,[5 stars] Good and works really well and stays in the ears well | [5 stars] My sister was staying with me for 6 hours.  I got these to keep her entertained while I recovered.  Worked very well! | [5 stars] i was against these forever. My daughter got them and used them sparingly. My wife then used my daughters and raved about them. i then used them and love them as well. Good sound quality and usefulness. | [5 stars] Ok no other earphones are like the apple buds.  they just work and no stress.  Happy wife happy life. | [5 stars] These are so much better then the wired ones.  Worth the costs!
B00U3FPN4U,Amazon Fire TV with 4K Ultra HD,Amazon,Amazon Devices,Mid ($20-50),30286,29984,4.22,1.29,23972,4205,2109,79.15,13.88,214.69,8544,28727,94.85,0.81,2015-10-06,2023-04-16,2749,"[1 stars] Much to do about nothing. See no value if one has a smart TV. The only thing thus far that works through voice commands is the weather. | [5 stars] Very pleased and voice command works great, very sensitive. | [5 stars] I have had this about a week and I have enjoyed it.  I have only used it for Amazon Prime and Netflix and it worked really well.  I was using a Sony blue ray player to watch them both before and or would have a lot of issues with buffering and it was really annoying.  I have had few issues with the fore tv so far.<br /><br />I have had this now for a few months my husband and I really enjoy it.  So glad I bought it. | [5 stars] I've tried them all, and Fire TV is undoubtedly the easiest to install, configure, and use.  With a subscription to Netflix, you are set for life with more movies and TV series than you could ever watch.  I love the voice activated Alexa info service, as well as the excellent voice search features of the system.  It just doesn't get any better than Fire TV from Amazon. | [5 stars] Great Machine should of bought this a long time ago much better than my apple tv."
B083TH1B45,"Cheetah Mounts APDAM3B Dual Articulating Arm TV Wall Mount Bracket for 20-65” TVs up to VESA 400 and 115lbs,Mounts on Studs up to 16”, Includes Twisted Veins 10’HDMI Cable and 6” 3-Axis Bubble Level",Cheetah,All Electronics,Unknown,29960,29030,4.47,1.03,25959,2188,1813,86.65,7.3,266.14,11852,28727,95.88,0.46,2008-01-31,2023-08-04,5664,"[5 stars] Its a fantastic mount and is holding up my fathers TV currently. For the money its hard to beat | [5 stars] Great wall bracket.. however needs additional options/holes for mounting to the wall there are not enough mounting holes to meet all stud locations.. | [5 stars] Easy to install, solid materials and great price. I was very happy with this purchase! | [5 stars] This mount looks and feels more expensive than it is. Not only is it universal, but holds up our 65"" inch TV no problem. Also, it seems like all their parts and pieces they use are made specifically for the Cheetah brand and have little paw prints, so I think that's why its relatively inexpensive - they aren't selling you a product third party. | [5 stars] Works great... comes with good hardware, which is uncommon for most TV stands. Product holds my 50&#34; LCD Sony with ease!"
B011BRUOMO,"SanDisk Ultra 32GB microSDHC UHS-I Card with Adapter, Silver, Standard Packaging (SDSQUNC-032G-GN6MA)",SanDisk,Computers,Budget (<$20),29559,29255,4.53,1.12,26217,2595,747,88.69,8.78,86.98,3057,27681,93.65,0.33,2015-06-01,2023-08-10,2992,"[5 stars] I paid $42 for this on Amazon. Best Buy has the dame card for roughly $10-$12 more. Shipped fast and as described. We used this for my sons new Wii Switch.  Would recommend. | [5 stars] I purchased these for added memory in cell phones.  Now there is enough memory for photos or videos. | [5 stars] Purchased this card for my LG G Vista 2 cell phone.. It fits fine and is working properly. | [5 stars] No problems so far, use with my smaller kindle fire 2015. | [5 stars] Works like intended. Used in on my new 3DS and got plenty of space."
B00CX5P8FC,Amazon Fire TV - 1st Generation,Amazon,Amazon Devices,Unknown,27848,27570,4.19,1.23,21688,3451,2709,77.88,12.39,349.33,12057,24803,89.07,2.99,2014-04-03,2023-03-27,3280,"[5 stars] The Amazon Fire TV is a great buy we can watch movies a lot are free.  Some you have to rent, but most are not that expensive.<br />I recommend this item. | [5 stars] I was watching my netflix / amazon prime video on my playstation 3 on one TV, but needed something for my 2nd TV. This thing is great! Like the remote. | [5 stars] It does what it says it will do... What more can I say?  Sets up easily without hastle, even setting up the Wireless Internet connection is automatic, and it works perfectly right off the bat.  The on-screen keyboard for entering passwords and searches is one of the most innovative and easy to use I've seen.  The voice (audio) search is excellent and requires no &#34;training&#34;.  Perfect!! | [5 stars] Easy install, easier setup and much faster than Roku. What else need be said? | [5 stars] The AmazonFire TV is just as great as advertised. Easy to set up and install. The only difficulty was getting to my surge protector to plug it in.<br /><br />The packaging is what I was mesmerized by. Elegant, simple and deserves an award all on its own. Lovely."
B01G8JO5F2,"Senso Bluetooth Headphones, Best Wireless Sports Earbuds w/Mic IPX7 Waterproof HD Stereo Sweatproof Earphones for Gym Running Workout Noise Cancelling Earphones Earbuds Noise Cancelling Headsets",Senso,All Electronics,Mid ($20-50),27350,27074,4.06,1.39,20455,4882,2013,74.79,17.85,246.66,10945,26157,95.64,0.77,2016-07-24,2023-08-04,2567,"[5 stars] I love these. They even come with a carry case and several sizes of ear bud inserts. Thank heaven!  I get ear pain from most, but the smallest buds fit great.  They also have a charger and all of it fits in the carry case. I just wish they came in more colors preferably something bright!  When I leave them on my nightstand it takes a while to figure out which of half a dozen black cables are the right ones. Even white would be ok as only my iPhone has a white cord. | [5 stars] Forget any of the less than 5 star reviews. The sound is amazing, with a wide range. Excellent bass and mid-range. I bought these for use at the gym and walking to replace 2 different headsets that never stayed put, and honestly sound like crap.<br /><br />I bought a 2nd pair for work.<br /><br />BUY THESE AND TRY THEM, you won't be disappointed. | [5 stars] I am so happy with these!! I have a lot of ear piercings all throughout my ear and so I never know if ear phones will work with that. Especially since these have the clips I was unsure. It doesn’t irritate any of them, not even my daith or conch. If you’re pierced, these are awesome! Highly recommend. | [1 stars] DONT waste your money.. Battery time sucks, sound quality is great first day and sucks the next and than on.<br />there is no noise cancellation what so ever. | [5 stars] This is the second pair that I've had.  These things are workhorses.  The pair I'm listening to right know are 4 years old!  Insane!"
B07J2FGZSM,Kindle Paperwhite – (previous generation - 2018 release) Waterproof with 2x the Storage – Ad-Supported,Amazon,Amazon Devices,Luxury ($100+),27209,26941,4.08,1.37,20273,4499,2437,74.51,16.53,290.06,12106,26584,97.7,1.55,2018-11-12,2023-08-25,1747,"[5 stars] Great Kindle - is a bit smaller than I prefer but is easy too use, strong battery life, easy to adjust settings and I can take it on my float in the pool! | [5 stars] Not sure what that ""built in light"" business is about (how would it be usable if the screen were not internally lit up?), but the page is quite easy to read, it is light and compact (and no, I don't think that makes it ""flimsy"", at least not so far), and it is quite simple even for unsophisticated oldsters<br />like me to customize my reading preferences. | [5 stars] touch screen Is too slow.<br />Airplane mold save battery | [5 stars] It is far more sensitive than my last kindle. I love it!  It holds more and I love that as well.  Just different enough from my last one that it took a bit of getting used to on the various steps I make reading. | [5 stars] I had an original Kindle; it died.  I loved it.  I got the paperwhite kindle.  featherlight, intuitively easy to use.  I confess I still like the page turning buttons of the old Kindle, but in every other respect the new one is superior.  battery life is great.  no backlight is easy on the eyes compared to other devices like an ipad.<br />I am never without a book to read on kindle device or app for lunch, delays and waits, etc."
