store,year_month,review_count,avg_rating,positive_count,negative_count,neutral_count,positive_rate,negative_rate,rating_change,trend_direction
Amazon,2014-03-01,6,3.17,2,2,2,33.33,33.33,0.024,Stable
Amazon,2014-04-01,2669,3.98,1882,424,363,70.51,15.89,0.809,Improving
Amazon,2014-05-01,1584,4.12,1208,209,167,76.26,13.19,0.141,Improving
Amazon,2014-06-01,1061,3.97,753,169,139,70.97,15.93,-0.145,Declining
Amazon,2014-07-01,1499,4.22,1173,167,159,78.25,11.14,0.249,Improving
Amazon,2014-08-01,968,4.12,727,134,107,75.1,13.84,-0.096,Stable
Amazon,2014-09-01,945,4.03,681,148,116,72.06,15.66,-0.091,Stable
Amazon,2014-10-01,1212,4.13,915,155,142,75.5,12.79,0.097,Stable
Amazon,2014-11-01,1176,4.2,921,145,110,78.32,12.33,0.073,Stable
Amazon,2014-12-01,2880,4.21,2257,327,296,78.37,11.35,0.012,Stable
Amazon,2015-01-01,3599,4.36,3011,314,274,83.66,8.72,0.146,Improving
Amazon,2015-02-01,2172,4.31,1774,227,171,81.68,10.45,-0.049,Stable
Amazon,2015-03-01,1894,4.34,1554,181,159,82.05,9.56,0.032,Stable
Amazon,2015-04-01,998,4.29,815,110,73,81.66,11.02,-0.049,Stable
Amazon,2015-05-01,857,4.36,714,79,64,83.31,9.22,0.067,Stable
Amazon,2015-06-01,1014,4.34,834,107,73,82.25,10.55,-0.026,Stable
Amazon,2015-07-01,2234,4.44,1911,171,152,85.54,7.65,0.104,Improving
Amazon,2015-08-01,2264,4.44,1945,180,139,85.91,7.95,0.004,Stable
Amazon,2015-09-01,1543,4.46,1333,112,98,86.39,7.26,0.021,Stable
Amazon,2015-10-01,8787,4.13,6807,1210,770,77.47,13.77,-0.331,Declining
Amazon,2015-11-01,8362,4.29,6854,851,657,81.97,10.18,0.162,Improving
Amazon,2015-12-01,4986,4.05,3690,873,423,74.01,17.51,-0.247,Declining
Amazon,2016-01-01,6002,4.2,4719,806,477,78.62,13.43,0.151,Improving
Amazon,2016-02-01,11648,4.35,9721,1084,843,83.46,9.31,0.149,Improving
Amazon,2016-03-01,8133,4.32,6711,842,580,82.52,10.35,-0.029,Stable
Amazon,2016-04-01,3812,4.16,2952,564,296,77.44,14.8,-0.162,Declining
Amazon,2016-05-01,7323,4.27,5981,787,555,81.67,10.75,0.117,Improving
Amazon,2016-06-01,6594,4.24,5294,783,517,80.29,11.87,-0.033,Stable
Amazon,2016-07-01,10599,4.27,8584,1164,851,80.99,10.98,0.031,Stable
Amazon,2016-08-01,7852,4.26,6317,905,630,80.45,11.53,-0.016,Stable
Amazon,2016-09-01,5435,4.26,4372,627,436,80.44,11.54,0.005,Stable
Amazon,2016-10-01,8269,4.31,6770,864,635,81.87,10.45,0.049,Stable
Amazon,2016-11-01,11962,4.34,9881,1248,833,82.6,10.43,0.029,Stable
Amazon,2016-12-01,31393,4.43,26785,2697,1911,85.32,8.59,0.086,Stable
Amazon,2017-01-01,34239,4.45,29487,2688,2064,86.12,7.85,0.028,Stable
Amazon,2017-02-01,17358,4.4,14641,1668,1049,84.35,9.61,-0.054,Stable
Amazon,2017-03-01,14032,4.3,11425,1635,972,81.42,11.65,-0.095,Stable
Amazon,2017-04-01,11309,4.31,9235,1340,734,81.66,11.85,0.006,Stable
Amazon,2017-05-01,12641,4.35,10434,1376,831,82.54,10.89,0.041,Stable
Amazon,2017-06-01,13053,4.33,10774,1462,817,82.54,11.2,-0.016,Stable
Amazon,2017-07-01,31101,4.39,26112,2824,2165,83.96,9.08,0.052,Stable
Amazon,2017-08-01,16889,4.3,13764,1971,1154,81.5,11.67,-0.084,Stable
Amazon,2017-09-01,15870,4.29,12838,1911,1121,80.89,12.04,-0.016,Stable
Amazon,2017-10-01,11977,4.18,9323,1763,891,77.84,14.72,-0.105,Declining
Amazon,2017-11-01,13607,4.08,10134,2255,1218,74.48,16.57,-0.099,Stable
Amazon,2017-12-01,19940,4.1,15005,3287,1648,75.25,16.48,0.017,Stable
Amazon,2018-01-01,59393,4.39,49924,5389,4080,84.06,9.07,0.295,Improving
Amazon,2018-02-01,22736,4.31,18533,2617,1586,81.51,11.51,-0.085,Stable
Amazon,2018-03-01,27695,4.26,22155,3454,2086,80.0,12.47,-0.049,Stable
Amazon,2018-04-01,14617,4.28,11818,1821,978,80.85,12.46,0.025,Stable
Amazon,2018-05-01,11053,4.2,8652,1576,825,78.28,14.26,-0.085,Stable
Amazon,2018-06-01,11069,4.2,8650,1579,840,78.15,14.27,0.004,Stable
Amazon,2018-07-01,17854,4.32,14645,2082,1127,82.03,11.66,0.115,Improving
Amazon,2018-08-01,16785,4.32,13783,1957,1045,82.11,11.66,0.002,Stable
Amazon,2018-09-01,11070,4.24,8785,1509,776,79.36,13.63,-0.081,Stable
Amazon,2018-10-01,10015,4.15,7726,1628,661,77.14,16.26,-0.091,Stable
Amazon,2018-11-01,10235,4.08,7675,1852,708,74.99,18.09,-0.072,Stable
Amazon,2018-12-01,22101,4.29,17935,2819,1347,81.15,12.76,0.211,Improving
Amazon,2019-01-01,23943,4.39,20100,2536,1307,83.95,10.59,0.105,Improving
Amazon,2019-02-01,12392,4.25,9875,1755,762,79.69,14.16,-0.138,Declining
Amazon,2019-03-01,14172,4.31,11575,1756,841,81.68,12.39,0.06,Stable
Amazon,2019-04-01,10159,4.25,8077,1405,677,79.51,13.83,-0.068,Stable
Amazon,2019-05-01,11735,4.33,9620,1464,651,81.98,12.48,0.082,Stable
Amazon,2019-06-01,14829,4.37,12396,1639,794,83.59,11.05,0.046,Stable
Amazon,2019-07-01,25210,4.44,21472,2409,1329,85.17,9.56,0.064,Stable
Amazon,2019-08-01,27642,4.44,23616,2560,1466,85.44,9.26,0.006,Stable
Amazon,2019-09-01,13607,4.29,11004,1805,798,80.87,13.27,-0.15,Declining
Amazon,2019-10-01,15179,4.12,11494,2558,1127,75.72,16.85,-0.178,Declining
Amazon,2019-11-01,18718,4.23,14789,2654,1275,79.01,14.18,0.111,Improving
Amazon,2019-12-01,65317,4.51,57042,5133,3142,87.33,7.86,0.284,Improving
Amazon,2020-01-01,85481,4.55,75744,5678,4059,88.61,6.64,0.04,Stable
Amazon,2020-02-01,36659,4.47,31492,3250,1917,85.91,8.87,-0.084,Stable
Amazon,2020-03-01,17192,4.31,14013,2207,972,81.51,12.84,-0.159,Declining
Amazon,2020-04-01,5522,3.64,3411,1642,469,61.77,29.74,-0.667,Declining
Amazon,2020-05-01,5545,3.8,3658,1406,481,65.97,25.36,0.157,Improving
Amazon,2020-06-01,12386,4.22,9721,1872,793,78.48,15.11,0.417,Improving
Amazon,2020-07-01,22963,4.43,19466,2241,1256,84.77,9.76,0.22,Improving
Amazon,2020-08-01,20946,4.4,17602,2206,1138,84.04,10.53,-0.03,Stable
Amazon,2020-09-01,18071,4.4,15205,1880,986,84.14,10.4,-0.001,Stable
Amazon,2020-10-01,20637,4.37,17177,2326,1134,83.23,11.27,-0.031,Stable
Amazon,2020-11-01,21847,4.29,17683,2838,1326,80.94,12.99,-0.079,Stable
Amazon,2020-12-01,27415,4.32,22339,3393,1683,81.48,12.38,0.023,Stable
Amazon,2021-01-01,33929,4.41,28570,3378,1981,84.21,9.96,0.096,Stable
Amazon,2021-02-01,22101,4.35,18194,2579,1328,82.32,11.67,-0.059,Stable
Amazon,2021-03-01,18378,4.32,14929,2267,1182,81.23,12.34,-0.029,Stable
Amazon,2021-04-01,15666,4.33,12829,1880,957,81.89,12.0,0.011,Stable
Amazon,2021-05-01,13584,4.27,10899,1856,829,80.23,13.66,-0.06,Stable
Amazon,2021-06-01,11993,4.2,9372,1850,771,78.15,15.43,-0.072,Stable
Amazon,2021-07-01,21674,4.4,18145,2310,1219,83.72,10.66,0.197,Improving
Amazon,2021-08-01,10417,4.17,8026,1709,682,77.05,16.41,-0.233,Declining
Amazon,2021-09-01,9061,4.19,7059,1439,563,77.91,15.88,0.024,Stable
Amazon,2021-10-01,8481,4.22,6654,1315,512,78.46,15.51,0.027,Stable
Amazon,2021-11-01,8846,4.29,7162,1225,459,80.96,13.85,0.072,Stable
Amazon,2021-12-01,14363,4.41,12124,1615,624,84.41,11.24,0.118,Improving
Amazon,2022-01-01,15229,4.39,12712,1728,789,83.47,11.35,-0.019,Stable
Amazon,2022-02-01,8185,4.24,6485,1247,453,79.23,15.24,-0.153,Declining
Amazon,2022-03-01,8241,4.25,6557,1225,459,79.57,14.86,0.011,Stable
Amazon,2022-04-01,6081,4.27,4878,872,331,80.22,14.34,0.024,Stable
Amazon,2022-05-01,5743,4.27,4612,825,306,80.31,14.37,-0.004,Stable
Amazon,2022-06-01,4998,4.25,3979,750,269,79.61,15.01,-0.017,Stable
Amazon,2022-07-01,8163,4.3,6608,1105,450,80.95,13.54,0.05,Stable
Amazon,2022-08-01,8534,4.29,6921,1190,423,81.1,13.94,-0.008,Stable
Amazon,2022-09-01,5330,4.21,4193,844,293,78.67,15.83,-0.085,Stable
Amazon,2022-10-01,5411,4.24,4306,818,287,79.58,15.12,0.033,Stable
Amazon,2022-11-01,3287,4.08,2486,648,153,75.63,19.71,-0.158,Declining
Amazon,2022-12-01,3715,4.14,2855,676,184,76.85,18.2,0.063,Stable
Amazon,2023-01-01,3652,4.1,2739,708,205,75.0,19.39,-0.049,Stable
Amazon,2023-02-01,2446,3.84,1671,624,151,68.32,25.51,-0.26,Declining
Amazon,2023-03-01,2384,3.88,1659,584,141,69.59,24.5,0.043,Stable
Amazon,2023-04-01,1277,3.82,866,344,67,67.82,26.94,-0.061,Stable
Amazon,2023-05-01,705,3.76,461,195,49,65.39,27.66,-0.061,Stable
Amazon,2023-06-01,448,3.86,313,113,22,69.87,25.22,0.102,Improving
Amazon,2023-07-01,365,4.1,279,71,15,76.44,19.45,0.242,Improving
Amazon,2023-08-01,290,4.28,231,44,15,79.66,15.17,0.174,Improving
Amazon,2023-09-01,31,4.23,25,5,1,80.65,16.13,-0.05,Stable
Amazon Basics,2015-12-01,25,4.6,22,1,2,88.0,4.0,,Stable
Amazon Basics,2016-01-01,161,4.65,148,7,6,91.93,4.35,0.052,Stable
Amazon Basics,2016-02-01,278,4.71,261,7,10,93.88,2.52,0.056,Stable
Amazon Basics,2016-03-01,371,4.72,348,12,11,93.8,3.23,0.014,Stable
Amazon Basics,2016-04-01,357,4.71,339,14,4,94.96,3.92,-0.011,Stable
Amazon Basics,2016-05-01,428,4.7,402,15,11,93.93,3.5,-0.013,Stable
Amazon Basics,2016-06-01,549,4.65,505,29,15,91.99,5.28,-0.045,Stable
Amazon Basics,2016-07-01,542,4.66,502,24,16,92.62,4.43,0.01,Stable
Amazon Basics,2016-08-01,599,4.71,563,26,10,93.99,4.34,0.05,Stable
Amazon Basics,2016-09-01,577,4.73,549,18,10,95.15,3.12,0.017,Stable
Amazon Basics,2016-10-01,583,4.65,542,22,19,92.97,3.77,-0.078,Stable
Amazon Basics,2016-11-01,529,4.62,485,29,15,91.68,5.48,-0.037,Stable
Amazon Basics,2016-12-01,861,4.66,798,41,22,92.68,4.76,0.043,Stable
Amazon Basics,2017-01-01,853,4.71,798,30,25,93.55,3.52,0.051,Stable
Amazon Basics,2017-02-01,572,4.67,528,25,19,92.31,4.37,-0.036,Stable
Amazon Basics,2017-03-01,614,4.66,564,27,23,91.86,4.4,-0.017,Stable
Amazon Basics,2017-04-01,479,4.58,431,33,15,89.98,6.89,-0.078,Stable
Amazon Basics,2017-05-01,369,4.45,317,35,17,85.91,9.49,-0.128,Declining
Amazon Basics,2017-06-01,330,4.62,297,16,17,90.0,4.85,0.163,Improving
Amazon Basics,2017-07-01,365,4.52,325,32,8,89.04,8.77,-0.095,Stable
Amazon Basics,2017-08-01,408,4.67,376,20,12,92.16,4.9,0.149,Improving
Amazon Basics,2017-09-01,398,4.62,362,24,12,90.95,6.03,-0.051,Stable
Amazon Basics,2017-10-01,378,4.59,339,18,21,89.68,4.76,-0.028,Stable
Amazon Basics,2017-11-01,335,4.53,295,27,13,88.06,8.06,-0.059,Stable
Amazon Basics,2017-12-01,365,4.59,325,25,15,89.04,6.85,0.06,Stable
Amazon Basics,2018-01-01,500,4.62,455,30,15,91.0,6.0,0.028,Stable
Amazon Basics,2018-02-01,408,4.63,370,24,14,90.69,5.88,0.015,Stable
Amazon Basics,2018-03-01,453,4.59,410,30,13,90.51,6.62,-0.045,Stable
Amazon Basics,2018-04-01,368,4.67,340,16,12,92.39,4.35,0.076,Stable
Amazon Basics,2018-05-01,322,4.62,294,17,11,91.3,5.28,-0.045,Stable
Amazon Basics,2018-06-01,440,4.5,387,39,14,87.95,8.86,-0.126,Declining
Amazon Basics,2018-07-01,422,4.59,381,26,15,90.28,6.16,0.09,Stable
Amazon Basics,2018-08-01,299,4.56,265,22,12,88.63,7.36,-0.03,Stable
Amazon Basics,2018-09-01,331,4.55,292,31,8,88.22,9.37,-0.008,Stable
Amazon Basics,2018-10-01,304,4.6,275,18,11,90.46,5.92,0.052,Stable
Amazon Basics,2018-11-01,257,4.51,223,26,8,86.77,10.12,-0.089,Stable
Amazon Basics,2018-12-01,413,4.62,371,29,13,89.83,7.02,0.11,Improving
Amazon Basics,2019-01-01,469,4.6,425,35,9,90.62,7.46,-0.019,Stable
Amazon Basics,2019-02-01,333,4.59,299,26,8,89.79,7.81,-0.007,Stable
Amazon Basics,2019-03-01,344,4.51,302,36,6,87.79,10.47,-0.089,Stable
Amazon Basics,2019-04-01,269,4.42,227,29,13,84.39,10.78,-0.089,Stable
Amazon Basics,2019-05-01,265,4.61,242,18,5,91.32,6.79,0.195,Improving
Amazon Basics,2019-06-01,321,4.72,298,17,6,92.83,5.3,0.105,Improving
Amazon Basics,2019-07-01,410,4.72,382,21,7,93.17,5.12,0.008,Stable
Amazon Basics,2019-08-01,322,4.61,289,26,7,89.75,8.07,-0.119,Declining
Amazon Basics,2019-09-01,250,4.58,224,21,5,89.6,8.4,-0.03,Stable
Amazon Basics,2019-10-01,280,4.63,254,20,6,90.71,7.14,0.053,Stable
Amazon Basics,2019-11-01,261,4.52,231,26,4,88.51,9.96,-0.111,Declining
Amazon Basics,2019-12-01,462,4.62,418,30,14,90.48,6.49,0.104,Improving
Amazon Basics,2020-01-01,490,4.58,437,36,17,89.18,7.35,-0.044,Stable
Amazon Basics,2020-02-01,370,4.55,326,35,9,88.11,9.46,-0.032,Stable
Amazon Basics,2020-03-01,249,4.51,218,25,6,87.55,10.04,-0.032,Stable
Amazon Basics,2020-04-01,128,4.38,111,16,1,86.72,12.5,-0.131,Declining
Amazon Basics,2020-05-01,190,4.55,169,17,4,88.95,8.95,0.17,Improving
Amazon Basics,2020-06-01,134,4.39,111,14,9,82.84,10.45,-0.165,Declining
Amazon Basics,2020-07-01,146,4.33,118,18,10,80.82,12.33,-0.059,Stable
Amazon Basics,2020-08-01,174,4.49,155,16,3,89.08,9.2,0.16,Improving
Amazon Basics,2020-09-01,191,4.49,165,20,6,86.39,10.47,0.004,Stable
Amazon Basics,2020-10-01,168,4.39,140,20,8,83.33,11.9,-0.099,Stable
Amazon Basics,2020-11-01,108,4.3,88,15,5,81.48,13.89,-0.097,Stable
Amazon Basics,2020-12-01,91,4.26,72,15,4,79.12,16.48,-0.033,Stable
Amazon Basics,2021-01-01,128,4.2,102,24,2,79.69,18.75,-0.061,Stable
Amazon Basics,2021-02-01,144,4.31,120,21,3,83.33,14.58,0.102,Improving
Amazon Basics,2021-03-01,159,4.47,134,20,5,84.28,12.58,0.16,Improving
Amazon Basics,2021-04-01,162,4.51,142,15,5,87.65,9.26,0.041,Stable
Amazon Basics,2021-05-01,144,4.38,122,20,2,84.72,13.89,-0.131,Declining
Amazon Basics,2021-06-01,151,4.44,128,18,5,84.77,11.92,0.062,Stable
Amazon Basics,2021-07-01,90,4.23,71,12,7,78.89,13.33,-0.204,Declining
Amazon Basics,2021-08-01,81,4.56,72,7,2,88.89,8.64,0.322,Improving
Amazon Basics,2021-09-01,57,4.28,46,8,3,80.7,14.04,-0.275,Declining
Amazon Basics,2021-10-01,64,4.44,56,7,1,87.5,10.94,0.157,Improving
Amazon Basics,2021-11-01,72,4.21,57,12,3,79.17,16.67,-0.229,Declining
Amazon Basics,2021-12-01,64,4.34,51,7,6,79.69,10.94,0.135,Improving
Amazon Basics,2022-01-01,99,4.43,86,12,1,86.87,12.12,0.091,Stable
Amazon Basics,2022-02-01,93,4.75,88,2,3,94.62,2.15,0.318,Improving
Amazon Basics,2022-03-01,84,4.44,73,9,2,86.9,10.71,-0.312,Declining
Amazon Basics,2022-04-01,51,4.47,44,6,1,86.27,11.76,0.03,Stable
Amazon Basics,2022-05-01,46,4.52,40,4,2,86.96,8.7,0.051,Stable
Amazon Basics,2022-06-01,56,4.66,51,5,0,91.07,8.93,0.139,Improving
Amazon Basics,2022-07-01,69,4.35,57,8,4,82.61,11.59,-0.313,Declining
Amazon Basics,2022-08-01,70,4.34,56,9,5,80.0,12.86,-0.005,Stable
Amazon Basics,2022-09-01,78,4.56,69,7,2,88.46,8.97,0.221,Improving
Amazon Basics,2022-10-01,84,4.5,71,8,5,84.52,9.52,-0.064,Stable
Amazon Basics,2022-11-01,73,4.66,66,4,3,90.41,5.48,0.158,Improving
Amazon Basics,2022-12-01,98,4.43,85,13,0,86.73,13.27,-0.229,Declining
Amazon Basics,2023-01-01,123,4.58,111,9,3,90.24,7.32,0.149,Improving
Amazon Basics,2023-02-01,93,4.46,82,9,2,88.17,9.68,-0.115,Declining
Amazon Basics,2023-03-01,77,4.57,70,7,0,90.91,9.09,0.109,Improving
Amazon Basics,2023-04-01,49,4.59,44,4,1,89.8,8.16,0.02,Stable
Amazon Basics,2023-05-01,29,4.72,28,1,0,96.55,3.45,0.132,Improving
Amazon Basics,2023-06-01,22,4.27,18,3,1,81.82,13.64,-0.451,Declining
Amazon Basics,2023-07-01,25,4.8,24,1,0,96.0,4.0,0.527,Improving
Amazon Basics,2023-08-01,15,4.87,14,0,1,93.33,0.0,0.067,Stable
Anker,2015-11-01,1,5.0,1,0,0,100.0,0.0,,Stable
Anker,2015-12-01,64,4.5,56,4,4,87.5,6.25,-0.5,Declining
Anker,2016-01-01,99,4.7,94,2,3,94.95,2.02,0.197,Improving
Anker,2016-02-01,106,4.62,101,3,2,95.28,2.83,-0.074,Stable
Anker,2016-03-01,109,4.57,101,6,2,92.66,5.5,-0.054,Stable
Anker,2016-04-01,118,4.6,109,5,4,92.37,4.24,0.033,Stable
Anker,2016-05-01,313,4.62,289,10,14,92.33,3.19,0.021,Stable
Anker,2016-06-01,221,4.63,206,9,6,93.21,4.07,0.006,Stable
Anker,2016-07-01,239,4.59,218,11,10,91.21,4.6,-0.035,Stable
Anker,2016-08-01,273,4.63,256,13,4,93.77,4.76,0.04,Stable
Anker,2016-09-01,249,4.59,227,11,11,91.16,4.42,-0.043,Stable
Anker,2016-10-01,188,4.6,170,5,13,90.43,2.66,0.005,Stable
Anker,2016-11-01,320,4.61,293,13,14,91.56,4.06,0.017,Stable
Anker,2016-12-01,703,4.61,638,30,35,90.75,4.27,-0.005,Stable
Anker,2017-01-01,1107,4.69,1031,32,44,93.13,2.89,0.082,Stable
Anker,2017-02-01,351,4.57,317,14,20,90.31,3.99,-0.119,Declining
Anker,2017-03-01,473,4.61,431,21,21,91.12,4.44,0.039,Stable
Anker,2017-04-01,373,4.62,342,12,19,91.69,3.22,0.008,Stable
Anker,2017-05-01,335,4.47,299,24,12,89.25,7.16,-0.145,Declining
Anker,2017-06-01,330,4.54,289,23,18,87.58,6.97,0.065,Stable
Anker,2017-07-01,459,4.5,403,37,19,87.8,8.06,-0.04,Stable
Anker,2017-08-01,477,4.51,417,35,25,87.42,7.34,0.009,Stable
Anker,2017-09-01,374,4.48,328,29,17,87.7,7.75,-0.021,Stable
Anker,2017-10-01,359,4.53,316,23,20,88.02,6.41,0.048,Stable
Anker,2017-11-01,237,4.57,215,15,7,90.72,6.33,0.033,Stable
Anker,2017-12-01,311,4.57,277,20,14,89.07,6.43,0.007,Stable
Anker,2018-01-01,435,4.63,398,18,19,91.49,4.14,0.055,Stable
Anker,2018-02-01,344,4.52,306,23,15,88.95,6.69,-0.104,Declining
Anker,2018-03-01,359,4.63,332,16,11,92.48,4.46,0.103,Improving
Anker,2018-04-01,334,4.45,284,28,22,85.03,8.38,-0.175,Declining
Anker,2018-05-01,189,4.4,162,19,8,85.71,10.05,-0.05,Stable
Anker,2018-06-01,130,4.55,114,8,8,87.69,6.15,0.144,Improving
Anker,2018-07-01,134,4.48,117,14,3,87.31,10.45,-0.069,Stable
Anker,2018-08-01,183,4.43,158,18,7,86.34,9.84,-0.046,Stable
Anker,2018-09-01,91,4.57,82,5,4,90.11,5.49,0.14,Improving
Anker,2018-10-01,102,4.33,84,11,7,82.35,10.78,-0.238,Declining
Anker,2018-11-01,106,4.52,92,9,5,86.79,8.49,0.186,Improving
Anker,2018-12-01,328,4.41,282,30,16,85.98,9.15,-0.107,Declining
Anker,2019-01-01,373,4.51,325,33,15,87.13,8.85,0.1,Stable
Anker,2019-02-01,336,4.52,295,25,16,87.8,7.44,0.009,Stable
Anker,2019-03-01,332,4.49,292,27,13,87.95,8.13,-0.027,Stable
Anker,2019-04-01,278,4.41,238,29,11,85.61,10.43,-0.088,Stable
Anker,2019-05-01,270,4.48,235,25,10,87.04,9.26,0.071,Stable
Anker,2019-06-01,244,4.49,214,20,10,87.7,8.2,0.014,Stable
Anker,2019-07-01,400,4.55,356,26,18,89.0,6.5,0.061,Stable
Anker,2019-08-01,360,4.55,320,21,19,88.89,5.83,0.0,Stable
Anker,2019-09-01,215,4.55,189,17,9,87.91,7.91,-0.004,Stable
Anker,2019-10-01,207,4.28,169,32,6,81.64,15.46,-0.269,Declining
Anker,2019-11-01,170,4.45,148,16,6,87.06,9.41,0.167,Improving
