parent_asin,product_title,store,year_month,monthly_reviews,monthly_avg_rating,prev_month_reviews,velocity_change,velocity_change_pct,momentum
B000WYVBR0,VideoSecu ML531BE2 TV Wall Mount kit with Free Magnetic Stud Finder and HDMI Cable for Most 26-55 TV and New LED UHD TV up to 60 inch 400x400 Full Motion with 20 inch Articulating Arm WT8,VideoSecu,2010-12-01,22,4.73,5.0,17.0,283.33,Surging
B000WYVBR0,VideoSecu ML531BE2 TV Wall Mount kit with Free Magnetic Stud Finder and HDMI Cable for Most 26-55 TV and New LED UHD TV up to 60 inch 400x400 Full Motion with 20 inch Articulating Arm WT8,VideoSecu,2011-01-01,35,4.57,22.0,13.0,56.52,Surging
B000WYVBR0,VideoSecu ML531BE2 TV Wall Mount kit with Free Magnetic Stud Finder and HDMI Cable for Most 26-55 TV and New LED UHD TV up to 60 inch 400x400 Full Motion with 20 inch Articulating Arm WT8,VideoSecu,2011-02-01,20,4.6,35.0,-15.0,-41.67,Declining
B000WYVBR0,VideoSecu ML531BE2 TV Wall Mount kit with Free Magnetic Stud Finder and HDMI Cable for Most 26-55 TV and New LED UHD TV up to 60 inch 400x400 Full Motion with 20 inch Articulating Arm WT8,VideoSecu,2011-03-01,18,4.61,20.0,-2.0,-9.52,Stable
B000WYVBR0,VideoSecu ML531BE2 TV Wall Mount kit with Free Magnetic Stud Finder and HDMI Cable for Most 26-55 TV and New LED UHD TV up to 60 inch 400x400 Full Motion with 20 inch Articulating Arm WT8,VideoSecu,2011-04-01,19,4.53,18.0,1.0,5.26,Stable
B000WYVBR0,VideoSecu ML531BE2 TV Wall Mount kit with Free Magnetic Stud Finder and HDMI Cable for Most 26-55 TV and New LED UHD TV up to 60 inch 400x400 Full Motion with 20 inch Articulating Arm WT8,VideoSecu,2011-05-01,17,4.35,19.0,-2.0,-10.0,Stable
B000WYVBR0,VideoSecu ML531BE2 TV Wall Mount kit with Free Magnetic Stud Finder and HDMI Cable for Most 26-55 TV and New LED UHD TV up to 60 inch 400x400 Full Motion with 20 inch Articulating Arm WT8,VideoSecu,2011-06-01,18,4.67,17.0,1.0,5.56,Stable
B000WYVBR0,VideoSecu ML531BE2 TV Wall Mount kit with Free Magnetic Stud Finder and HDMI Cable for Most 26-55 TV and New LED UHD TV up to 60 inch 400x400 Full Motion with 20 inch Articulating Arm WT8,VideoSecu,2011-07-01,29,4.59,18.0,11.0,57.89,Surging
B000WYVBR0,VideoSecu ML531BE2 TV Wall Mount kit with Free Magnetic Stud Finder and HDMI Cable for Most 26-55 TV and New LED UHD TV up to 60 inch 400x400 Full Motion with 20 inch Articulating Arm WT8,VideoSecu,2011-08-01,10,4.8,29.0,-19.0,-63.33,Collapsing
B000WYVBR0,VideoSecu ML531BE2 TV Wall Mount kit with Free Magnetic Stud Finder and HDMI Cable for Most 26-55 TV and New LED UHD TV up to 60 inch 400x400 Full Motion with 20 inch Articulating Arm WT8,VideoSecu,2011-09-01,11,4.64,10.0,1.0,9.09,Stable
B000WYVBR0,VideoSecu ML531BE2 TV Wall Mount kit with Free Magnetic Stud Finder and HDMI Cable for Most 26-55 TV and New LED UHD TV up to 60 inch 400x400 Full Motion with 20 inch Articulating Arm WT8,VideoSecu,2011-10-01,17,4.71,11.0,6.0,50.0,Growing
B000WYVBR0,VideoSecu ML531BE2 TV Wall Mount kit with Free Magnetic Stud Finder and HDMI Cable for Most 26-55 TV and New LED UHD TV up to 60 inch 400x400 Full Motion with 20 inch Articulating Arm WT8,VideoSecu,2011-11-01,26,4.35,17.0,9.0,50.0,Growing
B000WYVBR0,VideoSecu ML531BE2 TV Wall Mount kit with Free Magnetic Stud Finder and HDMI Cable for Most 26-55 TV and New LED UHD TV up to 60 inch 400x400 Full Motion with 20 inch Articulating Arm WT8,VideoSecu,2011-12-01,28,4.36,26.0,2.0,7.41,Stable
B000WYVBR0,VideoSecu ML531BE2 TV Wall Mount kit with Free Magnetic Stud Finder and HDMI Cable for Most 26-55 TV and New LED UHD TV up to 60 inch 400x400 Full Motion with 20 inch Articulating Arm WT8,VideoSecu,2012-01-01,27,4.7,28.0,-1.0,-3.45,Stable
B000WYVBR0,VideoSecu ML531BE2 TV Wall Mount kit with Free Magnetic Stud Finder and HDMI Cable for Most 26-55 TV and New LED UHD TV up to 60 inch 400x400 Full Motion with 20 inch Articulating Arm WT8,VideoSecu,2012-02-01,22,4.55,27.0,-5.0,-17.86,Stable
B000WYVBR0,VideoSecu ML531BE2 TV Wall Mount kit with Free Magnetic Stud Finder and HDMI Cable for Most 26-55 TV and New LED UHD TV up to 60 inch 400x400 Full Motion with 20 inch Articulating Arm WT8,VideoSecu,2012-03-01,18,4.83,22.0,-4.0,-17.39,Stable
B000WYVBR0,VideoSecu ML531BE2 TV Wall Mount kit with Free Magnetic Stud Finder and HDMI Cable for Most 26-55 TV and New LED UHD TV up to 60 inch 400x400 Full Motion with 20 inch Articulating Arm WT8,VideoSecu,2012-04-01,12,4.83,18.0,-6.0,-31.58,Declining
B000WYVBR0,VideoSecu ML531BE2 TV Wall Mount kit with Free Magnetic Stud Finder and HDMI Cable for Most 26-55 TV and New LED UHD TV up to 60 inch 400x400 Full Motion with 20 inch Articulating Arm WT8,VideoSecu,2012-05-01,17,4.82,12.0,5.0,38.46,Growing
B000WYVBR0,VideoSecu ML531BE2 TV Wall Mount kit with Free Magnetic Stud Finder and HDMI Cable for Most 26-55 TV and New LED UHD TV up to 60 inch 400x400 Full Motion with 20 inch Articulating Arm WT8,VideoSecu,2012-06-01,27,4.59,17.0,10.0,55.56,Surging
B000WYVBR0,VideoSecu ML531BE2 TV Wall Mount kit with Free Magnetic Stud Finder and HDMI Cable for Most 26-55 TV and New LED UHD TV up to 60 inch 400x400 Full Motion with 20 inch Articulating Arm WT8,VideoSecu,2012-07-01,20,4.65,27.0,-7.0,-25.0,Declining
B000WYVBR0,VideoSecu ML531BE2 TV Wall Mount kit with Free Magnetic Stud Finder and HDMI Cable for Most 26-55 TV and New LED UHD TV up to 60 inch 400x400 Full Motion with 20 inch Articulating Arm WT8,VideoSecu,2012-08-01,27,4.74,20.0,7.0,33.33,Growing
B000WYVBR0,VideoSecu ML531BE2 TV Wall Mount kit with Free Magnetic Stud Finder and HDMI Cable for Most 26-55 TV and New LED UHD TV up to 60 inch 400x400 Full Motion with 20 inch Articulating Arm WT8,VideoSecu,2012-09-01,31,4.48,27.0,4.0,14.29,Stable
B000WYVBR0,VideoSecu ML531BE2 TV Wall Mount kit with Free Magnetic Stud Finder and HDMI Cable for Most 26-55 TV and New LED UHD TV up to 60 inch 400x400 Full Motion with 20 inch Articulating Arm WT8,VideoSecu,2012-10-01,24,4.71,31.0,-7.0,-21.88,Declining
B000WYVBR0,VideoSecu ML531BE2 TV Wall Mount kit with Free Magnetic Stud Finder and HDMI Cable for Most 26-55 TV and New LED UHD TV up to 60 inch 400x400 Full Motion with 20 inch Articulating Arm WT8,VideoSecu,2012-11-01,39,4.82,24.0,15.0,60.0,Surging
B000WYVBR0,VideoSecu ML531BE2 TV Wall Mount kit with Free Magnetic Stud Finder and HDMI Cable for Most 26-55 TV and New LED UHD TV up to 60 inch 400x400 Full Motion with 20 inch Articulating Arm WT8,VideoSecu,2012-12-01,137,4.4,39.0,98.0,245.0,Surging
B000WYVBR0,VideoSecu ML531BE2 TV Wall Mount kit with Free Magnetic Stud Finder and HDMI Cable for Most 26-55 TV and New LED UHD TV up to 60 inch 400x400 Full Motion with 20 inch Articulating Arm WT8,VideoSecu,2013-01-01,168,4.55,137.0,31.0,22.46,Growing
B000WYVBR0,VideoSecu ML531BE2 TV Wall Mount kit with Free Magnetic Stud Finder and HDMI Cable for Most 26-55 TV and New LED UHD TV up to 60 inch 400x400 Full Motion with 20 inch Articulating Arm WT8,VideoSecu,2013-02-01,91,4.53,168.0,-77.0,-45.56,Declining
B000WYVBR0,VideoSecu ML531BE2 TV Wall Mount kit with Free Magnetic Stud Finder and HDMI Cable for Most 26-55 TV and New LED UHD TV up to 60 inch 400x400 Full Motion with 20 inch Articulating Arm WT8,VideoSecu,2013-03-01,113,4.48,91.0,22.0,23.91,Growing
B000WYVBR0,VideoSecu ML531BE2 TV Wall Mount kit with Free Magnetic Stud Finder and HDMI Cable for Most 26-55 TV and New LED UHD TV up to 60 inch 400x400 Full Motion with 20 inch Articulating Arm WT8,VideoSecu,2013-04-01,75,4.68,113.0,-38.0,-33.33,Declining
B000WYVBR0,VideoSecu ML531BE2 TV Wall Mount kit with Free Magnetic Stud Finder and HDMI Cable for Most 26-55 TV and New LED UHD TV up to 60 inch 400x400 Full Motion with 20 inch Articulating Arm WT8,VideoSecu,2013-05-01,111,4.77,75.0,36.0,47.37,Growing
B000WYVBR0,VideoSecu ML531BE2 TV Wall Mount kit with Free Magnetic Stud Finder and HDMI Cable for Most 26-55 TV and New LED UHD TV up to 60 inch 400x400 Full Motion with 20 inch Articulating Arm WT8,VideoSecu,2013-06-01,88,4.69,111.0,-23.0,-20.54,Declining
B000WYVBR0,VideoSecu ML531BE2 TV Wall Mount kit with Free Magnetic Stud Finder and HDMI Cable for Most 26-55 TV and New LED UHD TV up to 60 inch 400x400 Full Motion with 20 inch Articulating Arm WT8,VideoSecu,2013-07-01,99,4.62,88.0,11.0,12.36,Stable
B000WYVBR0,VideoSecu ML531BE2 TV Wall Mount kit with Free Magnetic Stud Finder and HDMI Cable for Most 26-55 TV and New LED UHD TV up to 60 inch 400x400 Full Motion with 20 inch Articulating Arm WT8,VideoSecu,2013-08-01,95,4.61,99.0,-4.0,-4.0,Stable
B000WYVBR0,VideoSecu ML531BE2 TV Wall Mount kit with Free Magnetic Stud Finder and HDMI Cable for Most 26-55 TV and New LED UHD TV up to 60 inch 400x400 Full Motion with 20 inch Articulating Arm WT8,VideoSecu,2013-09-01,77,4.69,95.0,-18.0,-18.75,Stable
B000WYVBR0,VideoSecu ML531BE2 TV Wall Mount kit with Free Magnetic Stud Finder and HDMI Cable for Most 26-55 TV and New LED UHD TV up to 60 inch 400x400 Full Motion with 20 inch Articulating Arm WT8,VideoSecu,2013-10-01,115,4.6,77.0,38.0,48.72,Growing
B000WYVBR0,VideoSecu ML531BE2 TV Wall Mount kit with Free Magnetic Stud Finder and HDMI Cable for Most 26-55 TV and New LED UHD TV up to 60 inch 400x400 Full Motion with 20 inch Articulating Arm WT8,VideoSecu,2013-11-01,93,4.65,115.0,-22.0,-18.97,Stable
B000WYVBR0,VideoSecu ML531BE2 TV Wall Mount kit with Free Magnetic Stud Finder and HDMI Cable for Most 26-55 TV and New LED UHD TV up to 60 inch 400x400 Full Motion with 20 inch Articulating Arm WT8,VideoSecu,2013-12-01,121,4.62,93.0,28.0,29.79,Growing
B000WYVBR0,VideoSecu ML531BE2 TV Wall Mount kit with Free Magnetic Stud Finder and HDMI Cable for Most 26-55 TV and New LED UHD TV up to 60 inch 400x400 Full Motion with 20 inch Articulating Arm WT8,VideoSecu,2014-01-01,173,4.68,121.0,52.0,42.62,Growing
B000WYVBR0,VideoSecu ML531BE2 TV Wall Mount kit with Free Magnetic Stud Finder and HDMI Cable for Most 26-55 TV and New LED UHD TV up to 60 inch 400x400 Full Motion with 20 inch Articulating Arm WT8,VideoSecu,2014-02-01,116,4.51,173.0,-57.0,-32.76,Declining
B000WYVBR0,VideoSecu ML531BE2 TV Wall Mount kit with Free Magnetic Stud Finder and HDMI Cable for Most 26-55 TV and New LED UHD TV up to 60 inch 400x400 Full Motion with 20 inch Articulating Arm WT8,VideoSecu,2014-03-01,132,4.63,116.0,16.0,13.68,Stable
B000WYVBR0,VideoSecu ML531BE2 TV Wall Mount kit with Free Magnetic Stud Finder and HDMI Cable for Most 26-55 TV and New LED UHD TV up to 60 inch 400x400 Full Motion with 20 inch Articulating Arm WT8,VideoSecu,2014-04-01,103,4.67,132.0,-29.0,-21.8,Declining
B000WYVBR0,VideoSecu ML531BE2 TV Wall Mount kit with Free Magnetic Stud Finder and HDMI Cable for Most 26-55 TV and New LED UHD TV up to 60 inch 400x400 Full Motion with 20 inch Articulating Arm WT8,VideoSecu,2014-05-01,105,4.48,103.0,2.0,1.92,Stable
B000WYVBR0,VideoSecu ML531BE2 TV Wall Mount kit with Free Magnetic Stud Finder and HDMI Cable for Most 26-55 TV and New LED UHD TV up to 60 inch 400x400 Full Motion with 20 inch Articulating Arm WT8,VideoSecu,2014-06-01,92,4.74,105.0,-13.0,-12.26,Stable
B000WYVBR0,VideoSecu ML531BE2 TV Wall Mount kit with Free Magnetic Stud Finder and HDMI Cable for Most 26-55 TV and New LED UHD TV up to 60 inch 400x400 Full Motion with 20 inch Articulating Arm WT8,VideoSecu,2014-07-01,179,4.63,92.0,87.0,93.55,Surging
B000WYVBR0,VideoSecu ML531BE2 TV Wall Mount kit with Free Magnetic Stud Finder and HDMI Cable for Most 26-55 TV and New LED UHD TV up to 60 inch 400x400 Full Motion with 20 inch Articulating Arm WT8,VideoSecu,2014-08-01,205,4.64,179.0,26.0,14.44,Stable
B000WYVBR0,VideoSecu ML531BE2 TV Wall Mount kit with Free Magnetic Stud Finder and HDMI Cable for Most 26-55 TV and New LED UHD TV up to 60 inch 400x400 Full Motion with 20 inch Articulating Arm WT8,VideoSecu,2014-09-01,168,4.65,205.0,-37.0,-17.96,Stable
B000WYVBR0,VideoSecu ML531BE2 TV Wall Mount kit with Free Magnetic Stud Finder and HDMI Cable for Most 26-55 TV and New LED UHD TV up to 60 inch 400x400 Full Motion with 20 inch Articulating Arm WT8,VideoSecu,2014-10-01,180,4.6,168.0,12.0,7.1,Stable
B000WYVBR0,VideoSecu ML531BE2 TV Wall Mount kit with Free Magnetic Stud Finder and HDMI Cable for Most 26-55 TV and New LED UHD TV up to 60 inch 400x400 Full Motion with 20 inch Articulating Arm WT8,VideoSecu,2014-11-01,224,4.59,180.0,44.0,24.31,Growing
B000WYVBR0,VideoSecu ML531BE2 TV Wall Mount kit with Free Magnetic Stud Finder and HDMI Cable for Most 26-55 TV and New LED UHD TV up to 60 inch 400x400 Full Motion with 20 inch Articulating Arm WT8,VideoSecu,2014-12-01,378,4.59,224.0,154.0,68.44,Surging
B000WYVBR0,VideoSecu ML531BE2 TV Wall Mount kit with Free Magnetic Stud Finder and HDMI Cable for Most 26-55 TV and New LED UHD TV up to 60 inch 400x400 Full Motion with 20 inch Articulating Arm WT8,VideoSecu,2015-01-01,405,4.55,378.0,27.0,7.12,Stable
B000WYVBR0,VideoSecu ML531BE2 TV Wall Mount kit with Free Magnetic Stud Finder and HDMI Cable for Most 26-55 TV and New LED UHD TV up to 60 inch 400x400 Full Motion with 20 inch Articulating Arm WT8,VideoSecu,2015-02-01,368,4.56,405.0,-37.0,-9.11,Stable
B000WYVBR0,VideoSecu ML531BE2 TV Wall Mount kit with Free Magnetic Stud Finder and HDMI Cable for Most 26-55 TV and New LED UHD TV up to 60 inch 400x400 Full Motion with 20 inch Articulating Arm WT8,VideoSecu,2015-03-01,370,4.59,368.0,2.0,0.54,Stable
B000WYVBR0,VideoSecu ML531BE2 TV Wall Mount kit with Free Magnetic Stud Finder and HDMI Cable for Most 26-55 TV and New LED UHD TV up to 60 inch 400x400 Full Motion with 20 inch Articulating Arm WT8,VideoSecu,2015-04-01,296,4.66,370.0,-74.0,-19.95,Stable
B000WYVBR0,VideoSecu ML531BE2 TV Wall Mount kit with Free Magnetic Stud Finder and HDMI Cable for Most 26-55 TV and New LED UHD TV up to 60 inch 400x400 Full Motion with 20 inch Articulating Arm WT8,VideoSecu,2015-05-01,251,4.63,296.0,-45.0,-15.15,Stable
B000WYVBR0,VideoSecu ML531BE2 TV Wall Mount kit with Free Magnetic Stud Finder and HDMI Cable for Most 26-55 TV and New LED UHD TV up to 60 inch 400x400 Full Motion with 20 inch Articulating Arm WT8,VideoSecu,2015-06-01,285,4.58,251.0,34.0,13.49,Stable
B000WYVBR0,VideoSecu ML531BE2 TV Wall Mount kit with Free Magnetic Stud Finder and HDMI Cable for Most 26-55 TV and New LED UHD TV up to 60 inch 400x400 Full Motion with 20 inch Articulating Arm WT8,VideoSecu,2015-07-01,293,4.58,285.0,8.0,2.8,Stable
B000WYVBR0,VideoSecu ML531BE2 TV Wall Mount kit with Free Magnetic Stud Finder and HDMI Cable for Most 26-55 TV and New LED UHD TV up to 60 inch 400x400 Full Motion with 20 inch Articulating Arm WT8,VideoSecu,2015-08-01,252,4.59,293.0,-41.0,-13.95,Stable
B000WYVBR0,VideoSecu ML531BE2 TV Wall Mount kit with Free Magnetic Stud Finder and HDMI Cable for Most 26-55 TV and New LED UHD TV up to 60 inch 400x400 Full Motion with 20 inch Articulating Arm WT8,VideoSecu,2015-09-01,184,4.54,252.0,-68.0,-26.88,Declining
B000WYVBR0,VideoSecu ML531BE2 TV Wall Mount kit with Free Magnetic Stud Finder and HDMI Cable for Most 26-55 TV and New LED UHD TV up to 60 inch 400x400 Full Motion with 20 inch Articulating Arm WT8,VideoSecu,2015-10-01,216,4.67,184.0,32.0,17.3,Stable
B000WYVBR0,VideoSecu ML531BE2 TV Wall Mount kit with Free Magnetic Stud Finder and HDMI Cable for Most 26-55 TV and New LED UHD TV up to 60 inch 400x400 Full Motion with 20 inch Articulating Arm WT8,VideoSecu,2015-11-01,259,4.69,216.0,43.0,19.82,Stable
B000WYVBR0,VideoSecu ML531BE2 TV Wall Mount kit with Free Magnetic Stud Finder and HDMI Cable for Most 26-55 TV and New LED UHD TV up to 60 inch 400x400 Full Motion with 20 inch Articulating Arm WT8,VideoSecu,2015-12-01,318,4.57,259.0,59.0,22.69,Growing
B000WYVBR0,VideoSecu ML531BE2 TV Wall Mount kit with Free Magnetic Stud Finder and HDMI Cable for Most 26-55 TV and New LED UHD TV up to 60 inch 400x400 Full Motion with 20 inch Articulating Arm WT8,VideoSecu,2016-01-01,396,4.71,318.0,78.0,24.45,Growing
B000WYVBR0,VideoSecu ML531BE2 TV Wall Mount kit with Free Magnetic Stud Finder and HDMI Cable for Most 26-55 TV and New LED UHD TV up to 60 inch 400x400 Full Motion with 20 inch Articulating Arm WT8,VideoSecu,2016-02-01,411,4.66,396.0,15.0,3.78,Stable
B000WYVBR0,VideoSecu ML531BE2 TV Wall Mount kit with Free Magnetic Stud Finder and HDMI Cable for Most 26-55 TV and New LED UHD TV up to 60 inch 400x400 Full Motion with 20 inch Articulating Arm WT8,VideoSecu,2016-03-01,373,4.67,411.0,-38.0,-9.22,Stable
B000WYVBR0,VideoSecu ML531BE2 TV Wall Mount kit with Free Magnetic Stud Finder and HDMI Cable for Most 26-55 TV and New LED UHD TV up to 60 inch 400x400 Full Motion with 20 inch Articulating Arm WT8,VideoSecu,2016-04-01,244,4.71,373.0,-129.0,-34.49,Declining
B000WYVBR0,VideoSecu ML531BE2 TV Wall Mount kit with Free Magnetic Stud Finder and HDMI Cable for Most 26-55 TV and New LED UHD TV up to 60 inch 400x400 Full Motion with 20 inch Articulating Arm WT8,VideoSecu,2016-05-01,269,4.75,244.0,25.0,10.2,Stable
B000WYVBR0,VideoSecu ML531BE2 TV Wall Mount kit with Free Magnetic Stud Finder and HDMI Cable for Most 26-55 TV and New LED UHD TV up to 60 inch 400x400 Full Motion with 20 inch Articulating Arm WT8,VideoSecu,2016-06-01,243,4.61,269.0,-26.0,-9.63,Stable
B000WYVBR0,VideoSecu ML531BE2 TV Wall Mount kit with Free Magnetic Stud Finder and HDMI Cable for Most 26-55 TV and New LED UHD TV up to 60 inch 400x400 Full Motion with 20 inch Articulating Arm WT8,VideoSecu,2016-07-01,281,4.6,243.0,38.0,15.57,Stable
B000WYVBR0,VideoSecu ML531BE2 TV Wall Mount kit with Free Magnetic Stud Finder and HDMI Cable for Most 26-55 TV and New LED UHD TV up to 60 inch 400x400 Full Motion with 20 inch Articulating Arm WT8,VideoSecu,2016-08-01,361,4.56,281.0,80.0,28.37,Growing
B000WYVBR0,VideoSecu ML531BE2 TV Wall Mount kit with Free Magnetic Stud Finder and HDMI Cable for Most 26-55 TV and New LED UHD TV up to 60 inch 400x400 Full Motion with 20 inch Articulating Arm WT8,VideoSecu,2016-09-01,309,4.73,361.0,-52.0,-14.36,Stable
B000WYVBR0,VideoSecu ML531BE2 TV Wall Mount kit with Free Magnetic Stud Finder and HDMI Cable for Most 26-55 TV and New LED UHD TV up to 60 inch 400x400 Full Motion with 20 inch Articulating Arm WT8,VideoSecu,2016-10-01,224,4.54,309.0,-85.0,-27.42,Declining
B000WYVBR0,VideoSecu ML531BE2 TV Wall Mount kit with Free Magnetic Stud Finder and HDMI Cable for Most 26-55 TV and New LED UHD TV up to 60 inch 400x400 Full Motion with 20 inch Articulating Arm WT8,VideoSecu,2016-11-01,266,4.58,224.0,42.0,18.67,Stable
B000WYVBR0,VideoSecu ML531BE2 TV Wall Mount kit with Free Magnetic Stud Finder and HDMI Cable for Most 26-55 TV and New LED UHD TV up to 60 inch 400x400 Full Motion with 20 inch Articulating Arm WT8,VideoSecu,2016-12-01,466,4.64,266.0,200.0,74.91,Surging
B000WYVBR0,VideoSecu ML531BE2 TV Wall Mount kit with Free Magnetic Stud Finder and HDMI Cable for Most 26-55 TV and New LED UHD TV up to 60 inch 400x400 Full Motion with 20 inch Articulating Arm WT8,VideoSecu,2017-01-01,472,4.61,466.0,6.0,1.28,Stable
B000WYVBR0,VideoSecu ML531BE2 TV Wall Mount kit with Free Magnetic Stud Finder and HDMI Cable for Most 26-55 TV and New LED UHD TV up to 60 inch 400x400 Full Motion with 20 inch Articulating Arm WT8,VideoSecu,2017-02-01,260,4.6,472.0,-212.0,-44.82,Declining
B000WYVBR0,VideoSecu ML531BE2 TV Wall Mount kit with Free Magnetic Stud Finder and HDMI Cable for Most 26-55 TV and New LED UHD TV up to 60 inch 400x400 Full Motion with 20 inch Articulating Arm WT8,VideoSecu,2017-03-01,357,4.55,260.0,97.0,37.16,Growing
B000WYVBR0,VideoSecu ML531BE2 TV Wall Mount kit with Free Magnetic Stud Finder and HDMI Cable for Most 26-55 TV and New LED UHD TV up to 60 inch 400x400 Full Motion with 20 inch Articulating Arm WT8,VideoSecu,2017-04-01,250,4.49,357.0,-107.0,-29.89,Declining
B000WYVBR0,VideoSecu ML531BE2 TV Wall Mount kit with Free Magnetic Stud Finder and HDMI Cable for Most 26-55 TV and New LED UHD TV up to 60 inch 400x400 Full Motion with 20 inch Articulating Arm WT8,VideoSecu,2017-05-01,229,4.57,250.0,-21.0,-8.37,Stable
B000WYVBR0,VideoSecu ML531BE2 TV Wall Mount kit with Free Magnetic Stud Finder and HDMI Cable for Most 26-55 TV and New LED UHD TV up to 60 inch 400x400 Full Motion with 20 inch Articulating Arm WT8,VideoSecu,2017-06-01,232,4.52,229.0,3.0,1.3,Stable
B000WYVBR0,VideoSecu ML531BE2 TV Wall Mount kit with Free Magnetic Stud Finder and HDMI Cable for Most 26-55 TV and New LED UHD TV up to 60 inch 400x400 Full Motion with 20 inch Articulating Arm WT8,VideoSecu,2017-07-01,183,4.42,232.0,-49.0,-21.03,Declining
B000WYVBR0,VideoSecu ML531BE2 TV Wall Mount kit with Free Magnetic Stud Finder and HDMI Cable for Most 26-55 TV and New LED UHD TV up to 60 inch 400x400 Full Motion with 20 inch Articulating Arm WT8,VideoSecu,2017-08-01,244,4.53,183.0,61.0,33.15,Growing
